Freq.	V(n002)
1.49623565609444e+02	(-4.54990628862480e-05dB,-1.85451915543065e-01°)
1.51356124843621e+02	(-4.65588665251215e-05dB,-1.87599332256604e-01°)
1.53108746168203e+02	(-4.76433558964760e-05dB,-1.89771614347492e-01°)
1.54881661891249e+02	(-4.87531059882157e-05dB,-1.91969049724386e-01°)
1.56675107010815e+02	(-4.98887051871984e-05dB,-1.94191929629102e-01°)
1.58489319246112e+02	(-5.10507555820619e-05dB,-1.96440548675192e-01°)
1.60324539069005e+02	(-5.22398732872676e-05dB,-1.98715204886966e-01°)
1.62181009735893e+02	(-5.34566887632869e-05dB,-2.01016199738955e-01°)
1.64058977319954e+02	(-5.47018471599343e-05dB,-2.03343838195841e-01°)
1.65958690743757e+02	(-5.59760086519859e-05dB,-2.05698428752844e-01°)
1.67880401812257e+02	(-5.72798487902302e-05dB,-2.08080283476576e-01°)
1.69824365246175e+02	(-5.86140588631270e-05dB,-2.10489718046366e-01°)
1.71790838715759e+02	(-5.99793462555753e-05dB,-2.12927051796063e-01°)
1.73780082874938e+02	(-6.13764348327562e-05dB,-2.15392607756327e-01°)
1.75792361395870e+02	(-6.28060653191553e-05dB,-2.17886712697399e-01°)
1.77827941003893e+02	(-6.42689956891589e-05dB,-2.20409697172374e-01°)
1.79887091512879e+02	(-6.57660015740466e-05dB,-2.22961895560968e-01°)
1.81970085860999e+02	(-6.72978766718785e-05dB,-2.25543646113796e-01°)
1.84077200146896e+02	(-6.88654331660637e-05dB,-2.28155290997154e-01°)
1.86208713666287e+02	(-7.04695021555030e-05dB,-2.30797176338326e-01°)
1.88364908948981e+02	(-7.21109340972707e-05dB,-2.33469652271413e-01°)
1.90546071796325e+02	(-7.37905992589420e-05dB,-2.36173072983682e-01°)
1.92752491319094e+02	(-7.55093881767091e-05dB,-2.38907796762466e-01°)
1.94984459975805e+02	(-7.72682121250721e-05dB,-2.41674186042590e-01°)
1.97242273611486e+02	(-7.90680036106413e-05dB,-2.44472607454359e-01°)
1.99526231496889e+02	(-8.09097168534061e-05dB,-2.47303431872086e-01°)
2.01836636368157e+02	(-8.27943282988655e-05dB,-2.50167034463191e-01°)
2.04173794466954e+02	(-8.47228371369129e-05dB,-2.53063794737864e-01°)
2.06538015581054e+02	(-8.66962658322963e-05dB,-2.55994096599296e-01°)
2.08929613085405e+02	(-8.87156606560455e-05dB,-2.58958328394501e-01°)
2.11348903983666e+02	(-9.07820922583714e-05dB,-2.61956882965710e-01°)
2.13796208950224e+02	(-9.28966562174590e-05dB,-2.64990157702373e-01°)
2.16271852372703e+02	(-9.50604736306970e-05dB,-2.68058554593749e-01°)
2.18776162394956e+02	(-9.72746917116966e-05dB,-2.71162480282111e-01°)
2.21309470960565e+02	(-9.95404843892442e-05dB,-2.74302346116562e-01°)
2.23872113856835e+02	(-1.01859052934225e-04dB,-2.77478568207471e-01°)
2.26464430759307e+02	(-1.04231626596193e-04dB,-2.80691567481537e-01°)
2.29086765276778e+02	(-1.06659463257310e-04dB,-2.83941769737492e-01°)
2.31739464996849e+02	(-1.09143850092066e-04dB,-2.87229605702441e-01°)
2.34422881531993e+02	(-1.11686104261733e-04dB,-2.90555511088856e-01°)
2.37137370566167e+02	(-1.14287573596282e-04dB,-2.93919926652225e-01°)
2.39883291901950e+02	(-1.16949637321627e-04dB,-2.97323298249369e-01°)
2.42661009508243e+02	(-1.19673706789781e-04dB,-3.00766076897426e-01°)
2.45470891568504e+02	(-1.22461226216720e-04dB,-3.04248718833520e-01°)
2.48313310529558e+02	(-1.25313673460762e-04dB,-3.07771685575115e-01°)
2.51188643150959e+02	(-1.28232560798065e-04dB,-3.11335443981068e-01°)
2.54097270554932e+02	(-1.31219435722236e-04dB,-3.14940466313381e-01°)
2.57039578276888e+02	(-1.34275881775769e-04dB,-3.18587230299668e-01°)
2.60015956316529e+02	(-1.37403519375717e-04dB,-3.22276219196342e-01°)
2.63026799189540e+02	(-1.40604006684683e-04dB,-3.26007921852530e-01°)
2.66072505979882e+02	(-1.43879040477010e-04dB,-3.29782832774718e-01°)
2.69153480392693e+02	(-1.47230357047409e-04dB,-3.33601452192155e-01°)
2.72270130807793e+02	(-1.50659733134056e-04dB,-3.37464286122992e-01°)
2.75422870333818e+02	(-1.54168986848464e-04dB,-3.41371846441199e-01°)
2.78612116862979e+02	(-1.57759978646817e-04dB,-3.45324650944245e-01°)
2.81838293126447e+02	(-1.61434612312904e-04dB,-3.49323223421555e-01°)
2.85101826750393e+02	(-1.65194835976735e-04dB,-3.53368093723760e-01°)
2.88403150312662e+02	(-1.69042643132210e-04dB,-3.57459797832742e-01°)
2.91742701400119e+02	(-1.72980073697234e-04dB,-3.61598877932486e-01°)
2.95120922666640e+02	(-1.77009215109526e-04dB,-3.65785882480747e-01°)
2.98538261891798e+02	(-1.81132203410871e-04dB,-3.70021366281538e-01°)
3.01995172040204e+02	(-1.85351224394073e-04dB,-3.74305890558462e-01°)
3.05492111321553e+02	(-1.89668514758598e-04dB,-3.78640023028872e-01°)
3.09029543251361e+02	(-1.94086363291311e-04dB,-3.83024337978901e-01°)
3.12607936712398e+02	(-1.98607112083882e-04dB,-3.87459416339340e-01°)
3.16227766016840e+02	(-2.03233157770451e-04dB,-3.91945845762399e-01°)
3.19889510969142e+02	(-2.07966952803895e-04dB,-3.96484220699344e-01°)
3.23593656929630e+02	(-2.12811006743688e-04dB,-4.01075142479028e-01°)
3.27340694878840e+02	(-2.17767887604533e-04dB,-4.05719219387327e-01°)
3.31131121482593e+02	(-2.22840223195376e-04dB,-4.10417066747482e-01°)
3.34965439157830e+02	(-2.28030702527877e-04dB,-4.15169307001375e-01°)
3.38844156139205e+02	(-2.33342077231659e-04dB,-4.19976569791724e-01°)
3.42767786546453e+02	(-2.38777163023582e-04dB,-4.24839492045236e-01°)
3.46736850452534e+02	(-2.44338841184763e-04dB,-4.29758718056703e-01°)
3.50751873952571e+02	(-2.50030060098381e-04dB,-4.34734899574071e-01°)
3.54813389233578e+02	(-2.55853836809685e-04dB,-4.39768695884484e-01°)
3.58921934645008e+02	(-2.61813258622692e-04dB,-4.44860773901308e-01°)
3.63078054770104e+02	(-2.67911484734512e-04dB,-4.50011808252164e-01°)
3.67282300498087e+02	(-2.74151747918903e-04dB,-4.55222481367964e-01°)
3.71535229097175e+02	(-2.80537356221431e-04dB,-4.60493483572969e-01°)
3.75837404288447e+02	(-2.87071694730849e-04dB,-4.65825513175879e-01°)
3.80189396320564e+02	(-2.93758227357269e-04dB,-4.71219276561967e-01°)
3.84591782045357e+02	(-3.00600498679811e-04dB,-4.76675488286271e-01°)
3.89045144994284e+02	(-3.07602135816475e-04dB,-4.82194871167849e-01°)
3.93550075455781e+02	(-3.14766850346132e-04dB,-4.87778156385117e-01°)
3.98107170553500e+02	(-3.22098440280714e-04dB,-4.93426083572279e-01°)
4.02717034325462e+02	(-3.29600792071204e-04dB,-4.99139400916853e-01°)
4.07380277804116e+02	(-3.37277882668648e-04dB,-5.04918865258325e-01°)
4.12097519097334e+02	(-3.45133781626690e-04dB,-5.10765242187924e-01°)
4.16869383470339e+02	(-3.53172653268777e-04dB,-5.16679306149534e-01°)
4.21696503428586e+02	(-3.61398758883393e-04dB,-5.22661840541772e-01°)
4.26579518801596e+02	(-3.69816458981073e-04dB,-5.28713637821221e-01°)
4.31519076827769e+02	(-3.78430215611271e-04dB,-5.34835499606848e-01°)
4.36515832240170e+02	(-3.87244594725598e-04dB,-5.41028236785615e-01°)
4.41570447353316e+02	(-3.96264268579698e-04dB,-5.47292669619292e-01°)
4.46683592150967e+02	(-4.05494018239350e-04dB,-5.53629627852491e-01°)
4.51855944374926e+02	(-4.14938736078947e-04dB,-5.60039950821938e-01°)
4.57088189614879e+02	(-4.24603428395770e-04dB,-5.66524487566982e-01°)
4.62381021399264e+02	(-4.34493218054253e-04dB,-5.73084096941368e-01°)
4.67735141287202e+02	(-4.44613347188198e-04dB,-5.79719647726290e-01°)
4.73151258961485e+02	(-4.54969179999526e-04dB,-5.86432018744722e-01°)
4.78630092322643e+02	(-4.65566205583163e-04dB,-5.93222098977057e-01°)
4.84172367584104e+02	(-4.76410040835937e-04dB,-6.00090787678063e-01°)
4.89778819368451e+02	(-4.87506433428263e-04dB,-6.07038994495166e-01°)
4.95450190804795e+02	(-4.98861264859852e-04dB,-6.14067639588084e-01°)
5.01187233627277e+02	(-5.10480553557002e-04dB,-6.21177653749814e-01°)
5.06990708274709e+02	(-5.22370458076101e-04dB,-6.28369978529004e-01°)
5.12861383991370e+02	(-5.34537280351622e-04dB,-6.35645566353706e-01°)
5.18800038928966e+02	(-5.46987469035876e-04dB,-6.43005380656538e-01°)
5.24807460249778e+02	(-5.59727622924738e-04dB,-6.50450396001270e-01°)
5.30884444230993e+02	(-5.72764494427884e-04dB,-6.57981598210840e-01°)
5.37031796370258e+02	(-5.86104993167458e-04dB,-6.65599984496825e-01°)
5.43250331492438e+02	(-5.99756189618368e-04dB,-6.73306563590379e-01°)
5.49540873857630e+02	(-6.13725318862555e-04dB,-6.81102355874658e-01°)
5.55904257270409e+02	(-6.28019784413848e-04dB,-6.88988393518733e-01°)
5.62341325190355e+02	(-6.42647162132700e-04dB,-6.96965720613035e-01°)
5.68852930843847e+02	(-6.57615204249126e-04dB,-7.05035393306317e-01°)
5.75439937337163e+02	(-6.72931843450484e-04dB,-7.13198479944174e-01°)
5.82103217770877e+02	(-6.88605197090968e-04dB,-7.21456061209120e-01°)
5.88843655355595e+02	(-7.04643571480430e-04dB,-7.29809230262257e-01°)
5.95662143529017e+02	(-7.21055466286266e-04dB,-7.38259092886529e-01°)
6.02559586074364e+02	(-7.37849579028141e-04dB,-7.46806767631606e-01°)
6.09536897240176e+02	(-7.55034809679065e-04dB,-7.55453385960390e-01°)
6.16595001861489e+02	(-7.72620265377644e-04dB,-7.64200092397174e-01°)
6.23734835482426e+02	(-7.90615265246716e-04dB,-7.73048044677472e-01°)
6.30957344480200e+02	(-8.09029345320292e-04dB,-7.81998413899532e-01°)
6.38263486190556e+02	(-8.27872263596200e-04dB,-7.91052384677546e-01°)
6.45654229034662e+02	(-8.47154005188386e-04dB,-8.00211155296595e-01°)
6.53130552647479e+02	(-8.66884787617479e-04dB,-8.09475937869319e-01°)
6.60693448007603e+02	(-8.87075066212627e-04dB,-8.18847958494347e-01°)
6.68343917568622e+02	(-9.07735539642947e-04dB,-8.28328457416513e-01°)
6.76082975391989e+02	(-9.28877155573786e-04dB,-8.37918689188852e-01°)
6.83911647281437e+02	(-9.50511116460343e-04dB,-8.47619922836415e-01°)
6.91830970918944e+02	(-9.72648885468079e-04dB,-8.57433442021918e-01°)
6.99841996002281e+02	(-9.95302192544020e-04dB,-8.67360545213236e-01°)
7.07945784384146e+02	(-1.01848304060140e-03dB,-8.77402545852769e-01°)
7.16143410212910e+02	(-1.04220371188706e-03dB,-8.87560772528696e-01°)
7.24435960074998e+02	(-1.06647677446706e-03dB,-8.97836569148137e-01°)
7.32824533138912e+02	(-1.09131508886616e-03dB,-9.08231295112244e-01°)
7.41310241300926e+02	(-1.11673181487475e-03dB,-9.18746325493234e-01°)
7.49894209332465e+02	(-1.14274041849719e-03dB,-9.29383051213394e-01°)
7.58577575029193e+02	(-1.16935467908401e-03dB,-9.40142879226071e-01°)
7.67361489361828e+02	(-1.19658869659787e-03dB,-9.51027232698663e-01°)
7.76247116628701e+02	(-1.22445689907892e-03dB,-9.62037551197648e-01°)
7.85235634610081e+02	(-1.25297405026227e-03dB,-9.73175290875647e-01°)
7.94328234724291e+02	(-1.28215525738524e-03dB,-9.84441924660565e-01°)
8.03526122185627e+02	(-1.31201597916042e-03dB,-9.95838942446809e-01°)
8.12830516164109e+02	(-1.34257203395969e-03dB,-1.00736785128862e+00°)
8.22242649947081e+02	(-1.37383960815063e-03dB,-1.01903017559555e+00°)
8.31763771102681e+02	(-1.40583526466719e-03dB,-1.03082745733005e+00°)
8.41395141645205e+02	(-1.43857595174532e-03dB,-1.04276125620724e+00°)
8.51138038202387e+02	(-1.47207901187946e-03dB,-1.05483314989694e+00°)
8.60993752184611e+02	(-1.50636219098169e-03dB,-1.06704473422779e+00°)
8.70963589956091e+02	(-1.54144364774933e-03dB,-1.07939762339370e+00°)
8.81048873008025e+02	(-1.57734196326611e-03dB,-1.09189345016252e+00°)
8.91250938133757e+02	(-1.61407615078977e-03dB,-1.10453386608699e+00°)
9.01571137605968e+02	(-1.65166566581091e-03dB,-1.11732054171799e+00°)
9.12010839355921e+02	(-1.69013041631583e-03dB,-1.13025516682010e+00°)
9.22571427154775e+02	(-1.72949077328687e-03dB,-1.14333945058952e+00°)
9.33254300797003e+02	(-1.76976758146675e-03dB,-1.15657512187436e+00°)
9.44060876285936e+02	(-1.81098217035184e-03dB,-1.16996392939724e+00°)
9.54992586021448e+02	(-1.85315636544089e-03dB,-1.18350764198041e+00°)
9.66050878989826e+02	(-1.89631249976303e-03dB,-1.19720804877323e+00°)
9.77237220955823e+02	(-1.94047342564680e-03dB,-1.21106695948208e+00°)
9.88553094656952e+02	(-1.98566252678326e-03dB,-1.22508620460281e+00°)
1.00000000000001e+03	(-2.03190373055232e-03dB,-1.23926763565565e+00°)
1.01157945425991e+03	(-2.07922152064149e-03dB,-1.25361312542260e+00°)
1.02329299228077e+03	(-2.12764094996564e-03dB,-1.26812456818742e+00°)
1.03514216667936e+03	(-2.17718765384847e-03dB,-1.28280387997815e+00°)
1.04712854805091e+03	(-2.22788786357372e-03dB,-1.29765299881221e+00°)
1.05925372517730e+03	(-2.27976842017515e-03dB,-1.31267388494409e+00°)
1.07151930523762e+03	(-2.33285678860610e-03dB,-1.32786852111574e+00°)
1.08392691402122e+03	(-2.38718107219439e-03dB,-1.34323891280947e+00°)
1.09647819614320e+03	(-2.44277002746255e-03dB,-1.35878708850370e+00°)
1.10917481526242e+03	(-2.49965307926355e-03dB,-1.37451509993121e+00°)
1.12201845430198e+03	(-2.55786033628311e-03dB,-1.39042502234027e+00°)
1.13501081567233e+03	(-2.61742260689927e-03dB,-1.40651895475838e+00°)
1.14815362149690e+03	(-2.67837141539433e-03dB,-1.42279902025887e+00°)
1.16144861384036e+03	(-2.74073901855429e-03dB,-1.43926736623018e+00°)
1.17489755493955e+03	(-2.80455842265092e-03dB,-1.45592616464802e+00°)
1.18850222743704e+03	(-2.86986340080384e-03dB,-1.47277761235030e+00°)
1.20226443461743e+03	(-2.93668851075562e-03dB,-1.48982393131495e+00°)
1.21618600064639e+03	(-3.00506911304455e-03dB,-1.50706736894053e+00°)
1.23026877081240e+03	(-3.07504138961782e-03dB,-1.52451019832982e+00°)
1.24451461177140e+03	(-3.14664236283993e-03dB,-1.54215471857622e+00°)
1.25892541179419e+03	(-3.21990991496693e-03dB,-1.56000325505313e+00°)
1.27350308101668e+03	(-3.29488280805891e-03dB,-1.57805815970628e+00°)
1.28824955169315e+03	(-3.37160070435673e-03dB,-1.59632181134900e+00°)
1.30316677845232e+03	(-3.45010418711011e-03dB,-1.61479661596046e+00°)
1.31825673855643e+03	(-3.53043478190516e-03dB,-1.63348500698697e+00°)
1.33352143216334e+03	(-3.61263497847465e-03dB,-1.65238944564628e+00°)
1.34896288259167e+03	(-3.69674825301415e-03dB,-1.67151242123486e+00°)
1.36458313658895e+03	(-3.78281909098625e-03dB,-1.69085645143834e+00°)
1.38038426460291e+03	(-3.87089301050170e-03dB,-1.71042408264499e+00°)
1.39636836105596e+03	(-3.96101658617091e-03dB,-1.73021789026224e+00°)
1.41253754462278e+03	(-4.05323747356113e-03dB,-1.75024047903642e+00°)
1.42889395851112e+03	(-4.14760443418533e-03dB,-1.77049448337554e+00°)
1.44543977074595e+03	(-4.24416736106189e-03dB,-1.79098256767527e+00°)
1.46217717445674e+03	(-4.34297730487909e-03dB,-1.81170742664802e+00°)
1.47910838816823e+03	(-4.44408650074278e-03dB,-1.83267178565533e+00°)
1.49623565609446e+03	(-4.54754839555092e-03dB,-1.85387840104329e+00°)
1.51356124843623e+03	(-4.65341767597829e-03dB,-1.87533006048124e+00°)
1.53108746168205e+03	(-4.76175029712558e-03dB,-1.89702958330377e+00°)
1.54881661891251e+03	(-4.87260351179600e-03dB,-1.91897982085578e+00°)
1.56675107010817e+03	(-4.98603590047214e-03dB,-1.94118365684097e+00°)
1.58489319246114e+03	(-5.10210740194832e-03dB,-1.96364400767344e+00°)
1.60324539069007e+03	(-5.22087934468936e-03dB,-1.98636382283264e+00°)
1.62181009735896e+03	(-5.34241447889434e-03dB,-2.00934608522158e+00°)
1.64058977319957e+03	(-5.46677700928703e-03dB,-2.03259381152835e+00°)
1.65958690743759e+03	(-5.59403262866644e-03dB,-2.05611005259083e+00°)
1.67880401812259e+03	(-5.72424855222224e-03dB,-2.07989789376489e+00°)
1.69824365246177e+03	(-5.85749355262325e-03dB,-2.10396045529569e+00°)
1.71790838715762e+03	(-5.99383799591741e-03dB,-2.12830089269249e+00°)
1.73780082874940e+03	(-6.13335387823648e-03dB,-2.15292239710659e+00°)
1.75792361395872e+03	(-6.27611486335816e-03dB,-2.17782819571277e+00°)
1.77827941003895e+03	(-6.42219632109571e-03dB,-2.20302155209393e+00°)
1.79887091512882e+03	(-6.57167536659512e-03dB,-2.22850576662907e+00°)
1.81970085861001e+03	(-6.72463090048473e-03dB,-2.25428417688467e+00°)
1.84077200146899e+03	(-6.88114364997479e-03dB,-2.28036015800930e+00°)
1.86208713666290e+03	(-7.04129621087047e-03dB,-2.30673712313161e+00°)
1.88364908948983e+03	(-7.20517309054641e-03dB,-2.33341852376158e+00°)
1.90546071796328e+03	(-7.37286075188906e-03dB,-2.36040785019514e+00°)
1.92752491319097e+03	(-7.54444765824252e-03dB,-2.38770863192202e+00°)
1.94984459975808e+03	(-7.72002431937273e-03dB,-2.41532443803698e+00°)
1.97242273611489e+03	(-7.89968333846663e-03dB,-2.44325887765420e+00°)
1.99526231496891e+03	(-8.08351946019959e-03dB,-2.47151560032501e+00°)
2.01836636368160e+03	(-8.27162961989181e-03dB,-2.50009829645891e+00°)
2.04173794466956e+03	(-8.46411299376373e-03dB,-2.52901069774769e+00°)
2.06538015581057e+03	(-8.66107105034714e-03dB,-2.55825657759290e+00°)
2.08929613085408e+03	(-8.86260760303814e-03dB,-2.58783975153643e+00°)
2.11348903983668e+03	(-9.06882886383885e-03dB,-2.61776407769426e+00°)
2.13796208950227e+03	(-9.27984349832179e-03dB,-2.64803345719344e+00°)
2.16271852372706e+03	(-9.49576268181066e-03dB,-2.67865183461205e+00°)
2.18776162394959e+03	(-9.71670015684739e-03dB,-2.70962319842233e+00°)
2.21309470960568e+03	(-9.94277229193473e-03dB,-2.74095158143686e+00°)
2.23872113856838e+03	(-1.01740981416028e-02dB,-2.77264106125773e+00°)
2.26464430759310e+03	(-1.04107995078308e-02dB,-2.80469576072867e+00°)
2.29086765276781e+03	(-1.06530010028265e-02dB,-2.83711984839014e+00°)
2.31739464996852e+03	(-1.09008301132418e-02dB,-2.86991753893733e+00°)
2.34422881531996e+03	(-1.11544172657909e-02dB,-2.90309309368092e+00°)
2.37137370566170e+03	(-1.14138958943606e-02dB,-2.93665082101072e+00°)
2.39883291901953e+03	(-1.16794025086060e-02dB,-2.97059507686198e+00°)
2.42661009508246e+03	(-1.19510767640900e-02dB,-3.00493026518439e+00°)
2.45470891568508e+03	(-1.22290615339651e-02dB,-3.03966083841373e+00°)
2.48313310529562e+03	(-1.25135029822691e-02dB,-3.07479129794601e+00°)
2.51188643150963e+03	(-1.28045506388471e-02dB,-3.11032619461411e+00°)
2.54097270554935e+03	(-1.31023574759249e-02dB,-3.14627012916685e+00°)
2.57039578276891e+03	(-1.34070799864027e-02dB,-3.18262775275032e+00°)
2.60015956316532e+03	(-1.37188782638670e-02dB,-3.21940376739155e+00°)
2.63026799189543e+03	(-1.40379160843748e-02dB,-3.25660292648419e+00°)
2.66072505979886e+03	(-1.43643609900606e-02dB,-3.29423003527643e+00°)
2.69153480392697e+03	(-1.46983843745677e-02dB,-3.33228995136072e+00°)
2.72270130807796e+03	(-1.50401615703758e-02dB,-3.37078758516547e+00°)
2.75422870333822e+03	(-1.53898719380571e-02dB,-3.40972790044841e+00°)
2.78612116862982e+03	(-1.57476989574795e-02dB,-3.44911591479168e+00°)
2.81838293126451e+03	(-1.61138303210192e-02dB,-3.48895670009840e+00°)
2.85101826750396e+03	(-1.64884580288267e-02dB,-3.52925538309060e+00°)
2.88403150312666e+03	(-1.68717784861632e-02dB,-3.57001714580849e+00°)
2.91742701400122e+03	(-1.72639926028720e-02dB,-3.61124722611083e+00°)
2.95120922666644e+03	(-1.76653058950243e-02dB,-3.65295091817626e+00°)
2.98538261891802e+03	(-1.80759285887760e-02dB,-3.69513357300548e+00°)
3.01995172040208e+03	(-1.84960757264763e-02dB,-3.73780059892414e+00°)
3.05492111321557e+03	(-1.89259672751029e-02dB,-3.78095746208620e+00°)
3.09029543251365e+03	(-1.93658282370204e-02dB,-3.82460968697763e+00°)
3.12607936712402e+03	(-1.98158887631569e-02dB,-3.86876285692032e+00°)
3.16227766016844e+03	(-2.02763842686163e-02dB,-3.91342261457590e+00°)
3.19889510969146e+03	(-2.07475555507843e-02dB,-3.95859466244935e+00°)
3.23593656929635e+03	(-2.12296489099853e-02dB,-4.00428476339221e+00°)
3.27340694878845e+03	(-2.17229162727045e-02dB,-4.05049874110513e+00°)
3.31131121482598e+03	(-2.22276153174922e-02dB,-4.09724248063952e+00°)
3.34965439157834e+03	(-2.27440096035204e-02dB,-4.14452192889812e+00°)
3.38844156139209e+03	(-2.32723687019095e-02dB,-4.19234309513428e+00°)
3.42767786546457e+03	(-2.38129683298463e-02dB,-4.24071205144953e+00°)
3.46736850452539e+03	(-2.43660904875461e-02dB,-4.28963493328938e+00°)
3.50751873952575e+03	(-2.49320235981239e-02dB,-4.33911793993696e+00°)
3.54813389233583e+03	(-2.55110626504195e-02dB,-4.38916733500423e+00°)
3.58921934645013e+03	(-2.61035093448451e-02dB,-4.43978944692048e+00°)
3.63078054770109e+03	(-2.67096722422892e-02dB,-4.49099066941781e+00°)
3.67282300498092e+03	(-2.73298669161590e-02dB,-4.54277746201322e+00°)
3.71535229097180e+03	(-2.79644161076034e-02dB,-4.59515635048714e+00°)
3.75837404288452e+03	(-2.86136498839599e-02dB,-4.64813392735774e+00°)
3.80189396320569e+03	(-2.92779058005298e-02dB,-4.70171685235104e+00°)
3.84591782045362e+03	(-2.99575290656891e-02dB,-4.75591185286614e+00°)
3.89045144994289e+03	(-3.06528727094265e-02dB,-4.81072572443536e+00°)
3.93550075455786e+03	(-3.13642977553600e-02dB,-4.86616533117878e+00°)
3.98107170553506e+03	(-3.20921733962845e-02dB,-4.92223760625284e+00°)
4.02717034325468e+03	(-3.28368771733271e-02dB,-4.97894955229250e+00°)
4.07380277804121e+03	(-3.35987951587636e-02dB,-5.03630824184662e+00°)
4.12097519097339e+03	(-3.43783221425548e-02dB,-5.09432081780588e+00°)
4.16869383470344e+03	(-3.51758618226706e-02dB,-5.15299449382305e+00°)
4.21696503428591e+03	(-3.59918269992575e-02dB,-5.21233655472482e+00°)
4.26579518801602e+03	(-3.68266397727373e-02dB,-5.27235435691485e+00°)
4.31519076827775e+03	(-3.76807317458509e-02dB,-5.33305532876749e+00°)
4.36515832240175e+03	(-3.85545442297693e-02dB,-5.39444697101145e+00°)
4.41570447353322e+03	(-3.94485284543006e-02dB,-5.45653685710317e+00°)
4.46683592150973e+03	(-4.03631457822536e-02dB,-5.51933263358884e+00°)
4.51855944374932e+03	(-4.12988679280412e-02dB,-5.58284202045492e+00°)
4.57088189614885e+03	(-4.22561771805943e-02dB,-5.64707281146612e+00°)
4.62381021399271e+03	(-4.32355666306044e-02dB,-5.71203287449051e+00°)
4.67735141287209e+03	(-4.42375404022302e-02dB,-5.77773015181079e+00°)
4.73151258961491e+03	(-4.52626138892616e-02dB,-5.84417266042124e+00°)
4.78630092322649e+03	(-4.63113139958522e-02dB,-5.91136849230947e+00°)
4.84172367584110e+03	(-4.73841793818702e-02dB,-5.97932581472226e+00°)
4.89778819368457e+03	(-4.84817607129169e-02dB,-6.04805287041474e+00°)
4.95450190804801e+03	(-4.96046209151175e-02dB,-6.11755797788208e+00°)
5.01187233627284e+03	(-5.07533354346788e-02dB,-6.18784953157278e+00°)
5.06990708274716e+03	(-5.19284925023468e-02dB,-6.25893600208290e+00°)
5.12861383991376e+03	(-5.31306934027792e-02dB,-6.33082593633009e+00°)
5.18800038928973e+03	(-5.43605527489124e-02dB,-6.40352795770666e+00°)
5.24807460249785e+03	(-5.56186987613728e-02dB,-6.47705076621076e+00°)
5.30884444231001e+03	(-5.69057735529944e-02dB,-6.55140313855457e+00°)
5.37031796370265e+03	(-5.82224334185138e-02dB,-6.62659392824863e+00°)
5.43250331492446e+03	(-5.95693491294685e-02dB,-6.70263206566114e+00°)
